name,approximate_value,games.x,AVp16,X1,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games.y,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year,X
Letroy Guion,31,112,4.42857142857143,Career,,27.0,,,,1.0,0.0,0.0,,,,,,,,,1.0,,,,,letroy-guion-1,,,DL,,,,,,,,,,,,1.5,,Career,29.0,10.5,Florida State,56.0,,,,,,0.0,,,,
Lawrence Guy,45,115,6.26086956521739,Career,,71.0,,0.0,0.0,1.0,2.0,1.0,,,,,,0.0,,,2.0,,,,,lawrence-guy-1,,6.0,DL,0.0,,,,,,,,,,,8.0,0.0,Career,51.0,23.0,Arizona State,122.0,1.0,0.0,,,,30.0,,,,
Ra'Shede Hageman,8,44,2.90909090909091,2013,,12.0,,,,0.0,1.0,,13.0,6-Jun,1.0,0.0,,,,,8.0,,,,,rashede-hageman-1,,,DL,,,,,,,,,,,,2.0,,2013,26.0,13.0,Minnesota,38.0,,,311.0,,,,7.0,7.0,,
Tamba Hali,97,177,8.7683615819209,,,38.0,,,,1.0,0.0,0.0,,,1.0,0.0,,,,,4.0,,,,,tamba-hali-1,,,DL,,,,,,,,,,,,11.0,,Career,27.0,17.0,Penn State,65.0,,,,,,0.0,5.0,5.0,,Career
Da'Shawn Hand,6,16,6.0,Career,,41.0,,,,1.0,0.0,,,4-Jun,0.0,0.0,,,,,1.0,,,,,dashawn-hand-1,,,DL,,,,,,,,,,,,9.0,,Career,30.0,14.5,Alabama,71.0,,,288.0,,,,0.0,,,
Johnathan Hankins,43,98,7.0204081632653095,Career,,80.0,,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,,johnathan-hankins-1,,,DL,,,,,,,,,,,,5.0,,Career,58.0,16.5,Ohio State,138.0,,,,,,0.0,,,,
Parys Haralson,42,118,5.694915254237291,,,12.0,,0.0,0.0,3.0,2.0,1.0,,,,,,0.0,,,1.0,,,,,parys-haralson-1,,6.0,DL,0.0,,,,,,,,,,,8.5,0.0,Career,33.0,17.0,Tennessee,45.0,1.0,0.0,,,,35.0,,,,Career
Anthony Harris,15,65,3.69230769230769,Career,,5.0,,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,,anthony-harris-3,,,DL,,,,,,,,,,,,0.0,,Career,9.0,0.0,Arkansas State,14.0,,,,,,0.0,,,,
David Harris,100,164,9.75609756097561,2013,,13.0,,,,0.0,0.0,,10.0,Jun-00,0.0,0.0,,,,,1.0,,,,,david-harris-4,,,DL,,,,,,,,,,,,2.5,,2013,11.0,2.5,Air Force,24.0,,,280.0,,,,0.0,,,
Marques Harris,8,64,2.0,,,,,,,,,,,,2.0,0.0,,,,,,,,,,marques-harris-1,,,DL,,,,,,,,,,,,,,Career,,,Colorado,,,,,,,,14.0,7.0,,Career
Marcus Harrison,6,37,2.59459459459459,Career,,39.0,,0.0,0.0,2.0,2.0,1.0,,,,,,0.0,,,9.0,,,,,marcus-harrison-1,,6.0,DL,0.0,,,,,,,,,,,4.0,0.0,Career,82.0,15.5,Arkansas,121.0,1.0,0.0,,,,43.0,,,,
Napoleon Harris,37,100,5.92,,,,,,,,,,,,4.0,0.0,,,,,,,,,,napoleon-harris-1,,,DL,,,,,,,,,,,,,,Career,,,Northwestern,,,,,,,,58.0,14.5,,Career
Orien Harris,2,20,1.6,,,22.0,,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,,orien-harris-1,,,DL,,,,,,,,,,,,3.5,,Career,18.0,11.0,Miami (FL),40.0,,,,,,0.0,,,,Career
Tommie Harris,61,117,8.341880341880339,,,,,,,,1.0,0.0,,,,,,,,,,,,,,tommie-harris-1,,,DL,,,,,,,,,,,,,,Career,,,Oklahoma,,,,,,,14.0,,,,Career
Derrick Harvey,15,52,4.6153846153846105,Career,,30.0,,,,2.0,1.0,0.0,,,,,,,,,6.0,,,,,derrick-harvey-1,,,DL,,,,,,,,,,,,20.5,,Career,60.0,31.5,Florida,90.0,,,,,,9.0,,,,
Nick Hayden,26,76,5.4736842105263195,Career,,61.0,,,,1.0,0.0,0.0,,,,,,,,,6.0,,,,,nick-hayden-1,,,DL,,,,,,,,,,,,10.0,,Career,70.0,21.5,Wisconsin,131.0,,,,,,0.0,,,,
Jovan Haye,26,73,5.6986301369863,,,,,,,,,,,,1.0,0.0,,,,,,,,,,jovan-haye-1,,,DL,,,,,,,,,,,,,,Career,,,Vanderbilt,,,,,,,,10.0,10.0,,Career
