name,approximate_value,games.x,AVp16,X1,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games.y,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year,X
Kapri Bibbs,3,28,1.7142857142857097,Career,,1.0,,0.0,0.0,0.0,0.0,,,11-May,0.0,0.0,,0.0,,,0.0,,,,,kapri-bibbs-1,289.0,186.0,RB,0.0,,0.0,59.0,7.4,8.0,281.0,31.0,1741.0,6.2,31.0,0.0,,Career,2.0,0.0,Colorado State,3.0,31.0,,203.0,1800.0,6.2,,0.0,,,
Alfred Blue,19,72,4.2222222222222205,2010,,3.0,,,,1.0,0.0,,11.0,2-Jun,0.0,0.0,,,,,0.0,,,,,alfred-blue-1,21.0,6.0,RB,0.0,,0.0,1.0,1.0,1.0,20.0,1.0,101.0,5.1,1.0,0.0,,2010,2.0,0.0,LSU,5.0,1.0,,222.0,102.0,4.9,,0.0,,,
Tommy Bohanon,1,68,0.23529411764705901,Career,,2.0,,,,,,,,,0.0,0.0,,,,,,,,,,tommy-bohanon-1,,60.0,RB,,,,,,,,,,,,0.0,,Career,3.0,0.0,Wake Forest,5.0,10.0,,,,,,0.0,,,
Brandon Bolden,12,114,1.68421052631579,Career,12.3,2.0,3.0,,,,,,,,0.0,0.0,0.0,0.0,,4.0,,75.0,0.0,49.0,12.3,brandon-bolden-1,562.0,198.0,RB,,177.9,6.0,807.0,10.6,76.0,486.0,27.0,2594.0,5.3,33.0,0.0,,Career,12.0,0.0,Ole Miss,14.0,33.0,,,3401.0,6.1,,0.0,,,
Brock Bolen,0,20,0.0,Career,,2.0,,,,,,,,,0.0,0.0,,0.0,,,,,,,,brock-bolen-1,301.0,120.0,RB,,,4.0,256.0,8.5,30.0,271.0,16.0,1308.0,4.8,20.0,0.0,,Career,0.0,0.0,Overall,2.0,20.0,,,1564.0,5.2,,0.0,,,
Devontae Booker,12,61,3.1475409836065604,Career,45.0,1.0,1.0,0.0,0.0,0.0,0.0,,,11-May,0.0,0.0,0.0,0.0,,1.0,0.0,100.0,1.0,25.0,25.0,devontae-booker-1,640.0,138.0,RB,0.0,640.0,2.0,622.0,7.8,80.0,560.0,21.0,2773.0,5.0,23.0,0.0,,Career,1.0,0.0,Utah,2.0,23.0,,212.0,3395.0,5.3,,0.0,,,
Lorenzo Booker,4,36,1.77777777777778,,,1.0,,,,,,,,,0.0,0.0,,0.0,,,,,,,,lorenzo-booker-1,611.0,102.0,RB,0.0,,2.0,995.0,8.7,114.0,497.0,15.0,2389.0,4.8,17.0,0.0,,Career,2.0,0.0,Florida State,3.0,17.0,,,3384.0,5.5,,0.0,,,Career
Mike Boone,2,24,1.33333333333333,Career,4.0,1.0,1.0,0.0,0.0,0.0,0.0,,,10-May,0.0,0.0,0.0,0.0,,1.0,0.0,100.0,0.0,4.0,4.0,mike-boone-2,485.0,150.0,RB,0.0,133.6,1.0,596.0,9.2,65.0,420.0,24.0,2250.0,5.4,25.0,0.0,,Career,2.0,0.0,Cincinnati,3.0,25.0,,205.0,2846.0,5.9,,0.0,,,
Allen Bradford,1,19,0.842105263157895,Career,,6.0,,,,,,,,,0.0,0.0,,0.0,,,,,,,,allen-bradford-1,281.0,120.0,RB,,,4.0,176.0,12.6,14.0,267.0,16.0,1585.0,5.9,20.0,0.0,,Career,15.0,0.0,USC,21.0,20.0,,,1761.0,6.3,,0.0,,,
Matt Breida,16,43,5.95348837209302,Career,,2.0,,0.0,0.0,0.0,0.0,,,11-May,0.0,0.0,,0.0,,,0.0,,,,,matt-breida-1,564.0,240.0,RB,0.0,,3.0,156.0,7.1,22.0,542.0,37.0,3740.0,6.9,40.0,0.0,,Career,0.0,0.0,Georgia Southern,2.0,40.0,,190.0,3896.0,6.9,,0.0,,,
