"","name","approximate_value","games.x","AVp16","X1","adjusted_yards_per_attempt","assists_on_tackles","completed_passes","extra_points_made","field_goals_made","fumbles_forced","fumbles_recovered","fumbles_recovered_for_touchdown","games.y","height","interceptions","interceptions_returned_for_touchdown","interceptions_thrown","kickoff_return_touchdowns","other_touchdowns","pass_attempts","passes_defended","passing_completion","passing_touchdowns","passing_yards","passing_yards_per_attempt","player_id","plays_from_scrimmage","points","position","punt_return_touchdowns","quarterback_rating","receiving_touchdowns","receiving_yards","receiving_yards_per_reception","receptions","rush_attempts","rush_touchdowns","rush_yards","rush_yards_per_attempt","rushing_and_receiving_touchdowns","sacks","safeties","season","solo_tackles","tackles_for_loss","team_abbreviation","total_tackles","total_touchdowns","two_point_conversions","weight","yards_from_scrimmage","yards_from_scrimmage_per_play","yards_recovered_from_fumble","yards_returned_from_interceptions","yards_returned_per_interception","year","X"
"35","Mike Bell",12,53,3.62264150943396,"Career",NA,78,NA,NA,NA,1,2,NA,NA,"3-Jun",4,0,NA,NA,NA,NA,12,NA,NA,NA,NA,"mike-bell-11",NA,NA,"DB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,"Career",121,9,"Fresno State",199,NA,NA,205,NA,NA,NA,19,4.8,NA,NA
"36","Fred Bennett",8,49,2.61224489795918,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,"",9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fred-bennett-1",NA,NA,"DB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"Career",52,2,"South Carolina",68,NA,NA,NA,NA,NA,NA,43,4.8,NA,"Career"
"37","Nat Berhe",3,42,1.14285714285714,"Career",NA,102,NA,NA,NA,1,3,NA,NA,"10-May",5,0,NA,NA,NA,NA,15,NA,NA,NA,NA,"nat-berhe-1",NA,NA,"DB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"Career",197,12,"San Diego State",299,NA,NA,190,NA,NA,NA,11,2.2,NA,NA
"38","Aaron Berry",3,20,2.4,"Career",NA,23,NA,NA,NA,NA,NA,NA,NA,"",6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aaron-berry-1",NA,NA,"DB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,"Career",70,6,"Pitt",93,NA,NA,NA,NA,NA,NA,81,13.5,NA,NA
"39","Eric Berry",54,89,9.70786516853933,"Career",NA,88,NA,NA,NA,NA,NA,NA,NA,"",14,3,NA,0,NA,NA,NA,NA,NA,NA,NA,"eric-berry-1",8,18,"DB",NA,NA,0,3,3,1,7,0,37,5.3,0,3,NA,"Career",157,17.5,"Tennessee",245,3,NA,NA,40,5,NA,494,35.3,NA,NA
"40","Atari Bigby",19,72,4.22222222222222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"atari-bigby-1",NA,NA,"DB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Career",NA,NA,"UCF",NA,NA,NA,NA,NA,NA,NA,38,12.7,NA,"Career"
"41","E.J. Biggers",14,92,2.43478260869565,"Career",57.5,50,2,NA,NA,NA,NA,NA,NA,"",7,0,0,NA,NA,2,NA,100,1,95,47.5,"ej-biggers-1",NA,NA,"DB",NA,664,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",111,6,"Western Michigan",161,NA,NA,NA,NA,NA,NA,88,12.6,NA,NA
"42","Ahmad Black",3,24,2,"Career",NA,102,NA,0,0,0,0,0,NA,"",13,3,NA,0,0,NA,0,NA,NA,NA,NA,"ahmad-black-1",NA,18,"DB",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,"Career",142,13,"Florida",244,3,0,NA,NA,NA,0,362,27.8,NA,NA
"43","Quincy Black",22,81,4.34567901234568,NA,NA,91,NA,NA,NA,NA,NA,NA,NA,"",4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"quincy-black-1",NA,12,"DB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,"Career",86,4.5,"New Mexico",177,2,NA,NA,NA,NA,NA,169,42.3,NA,"Career"
"44","Antwon Blake",12,78,2.46153846153846,"Career",NA,44,NA,NA,NA,2,0,0,NA,"",1,0,NA,NA,NA,NA,15,NA,NA,NA,NA,"antwon-blake-1",NA,NA,"DB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"Career",93,4,"UTEP",137,NA,NA,NA,NA,NA,0,0,0,NA,NA
