"","name","approximate_value","games.x","AVp16","X1","adjusted_yards_per_attempt","assists_on_tackles","completed_passes","extra_points_made","field_goals_made","fumbles_forced","fumbles_recovered","fumbles_recovered_for_touchdown","games.y","height","interceptions","interceptions_returned_for_touchdown","interceptions_thrown","kickoff_return_touchdowns","other_touchdowns","pass_attempts","passes_defended","passing_completion","passing_touchdowns","passing_yards","passing_yards_per_attempt","player_id","plays_from_scrimmage","points","position","punt_return_touchdowns","quarterback_rating","receiving_touchdowns","receiving_yards","receiving_yards_per_reception","receptions","rush_attempts","rush_touchdowns","rush_yards","rush_yards_per_attempt","rushing_and_receiving_touchdowns","sacks","safeties","season","solo_tackles","tackles_for_loss","team_abbreviation","total_tackles","total_touchdowns","two_point_conversions","weight","yards_from_scrimmage","yards_from_scrimmage_per_play","yards_recovered_from_fumble","yards_returned_from_interceptions","yards_returned_per_interception","year","X"
"60","Dez Bryant",71,113,10.0530973451327,"Career",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,"dez-bryant-1",NA,192,"WR",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Career",NA,NA,"Oklahoma State",NA,32,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","Martavis Bryant",20,44,7.27272727272727,"Career",NA,NA,NA,0,0,NA,NA,NA,NA,"4-Jun",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,"martavis-bryant-1",NA,78,"WR",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Career",NA,NA,"Clemson",NA,13,NA,211,NA,NA,NA,NA,NA,NA,NA
"62","Aaron Burbridge",1,16,1,"Career",NA,0,NA,0,0,0,1,NA,NA,"1-Jun",0,0,NA,0,NA,NA,0,NA,NA,NA,NA,"aaron-burbridge-1",NA,60,"WR",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",1,0,"Michigan State",1,10,NA,208,NA,NA,NA,0,NA,NA,NA
"63","Nate Burleson",55,135,6.51851851851852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,0,NA,0,NA,NA,NA,NA,NA,NA,NA,"nate-burleson-1",NA,138,"WR",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Career",NA,NA,"Nevada",NA,23,NA,NA,NA,NA,NA,0,0,NA,"Career"
"64","Plaxico Burress",83,148,8.97297297297297,NA,7,NA,1,NA,NA,NA,NA,NA,NA,"",NA,NA,0,0,NA,1,NA,100,0,7,7,"plaxico-burress-1",NA,120,"WR",NA,158.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Career",NA,NA,"Michigan State",NA,20,NA,NA,NA,NA,NA,NA,NA,NA,"Career"
"65","Isaiah Burse",0,21,0,"Career",4.5,0,1,0,0,0,0,NA,NA,"Jun-00",0,0,1,0,NA,4,0,25,1,43,10.8,"isaiah-burse-1",NA,126,"WR",2,147.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",3,0,"Fresno State",3,21,NA,187,NA,NA,NA,0,NA,NA,NA
"66","Keenan Burton",3,22,2.18181818181818,"Career",NA,0,NA,NA,NA,NA,NA,NA,NA,"",0,0,NA,1,NA,NA,NA,NA,NA,NA,NA,"keenan-burton-1",NA,156,"WR",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",1,0,"Kentucky",1,26,NA,NA,NA,NA,NA,0,NA,NA,NA
"67","Trey Burton",11,85,2.07058823529412,"Career",3.4,4,11,0,0,0,0,NA,NA,"2-Jun",0,0,1,0,NA,17,0,64.7,0,103,6.1,"trey-burton-1",260,120,"WR",0,103.8,4,976,9.1,107,153,16,720,4.7,20,0,NA,"Career",4,0,"Florida",8,20,NA,225,1696,6.5,NA,0,NA,NA,NA
"68","Brice Butler",10,69,2.31884057971015,"Career",NA,0,NA,NA,NA,NA,NA,NA,NA,"",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"brice-butler-1",NA,42,"WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",1,0,"Overall",1,7,NA,NA,NA,NA,NA,0,NA,NA,NA
"69","Deon Butler",4,35,1.82857142857143,"Career",NA,1,NA,NA,NA,NA,NA,NA,NA,"",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"deon-butler-1",NA,132,"WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",2,0,"Penn State",3,22,NA,NA,NA,NA,NA,0,NA,NA,NA
