name,approximate_value,games.x,AVp16,X1,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games.y,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year,X
T.J. Lang,73,138,8.46376811594203,Career,,8.0,,,,0.0,0.0,0.0,,,0.0,0.0,,,,,0.0,,,,,tj-lang-1,,,OL,,,,,,,,,,,,0.0,,Career,8.0,0.5,Eastern Michigan,16.0,,,,,,0.0,0.0,,,
Ted Larsen,42,137,4.9051094890511,Career,,8.0,,,,0.0,0.0,0.0,,,,,,,,,1.0,,,,,ted-larsen-1,,,OL,,,,,,,,,,,,4.0,,Career,15.0,5.5,North Carolina State,23.0,,,,,,0.0,,,,
Ronald Leary,32,77,6.649350649350651,Career,,0.0,,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,,ronald-leary-1,,,OL,,,,,,,,,,,,0.0,,Career,1.0,0.0,Memphis,1.0,,,,,,0.0,,,,
Nick Leckey,15,65,3.69230769230769,,,,,,,,,,,,,,,,,,,,,,,nick-leckey-1,,6.0,OL,,,,,,,,,,,,,,Career,,,Kansas State,,1.0,,,,,,,,,Career
Andy Levitre,68,143,7.60839160839161,Career,,0.0,,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,,andy-levitre-1,,,OL,,,,,,,,,,,,0.0,,Career,3.0,0.0,Oregon State,3.0,,,,,,0.0,,,,
Taylor Lewan,48,85,9.03529411764706,Career,,,,,,,,,,8-Jun,,,,,,,,,,,,taylor-lewan-1,,12.0,OL,,,,,,,,,,,,,,Career,,,Michigan,,2.0,,315.0,,,,,,,
Alex Lewis,12,35,5.48571428571429,Career,,1.0,,,,0.0,0.0,0.0,,6-Jun,0.0,0.0,,,,,0.0,,,,,alex-lewis-2,,,OL,,,,,,,,,,,,0.0,,Career,3.0,0.0,Overall,4.0,,,290.0,,,0.0,0.0,,,
Brandon Linder,28,70,6.4,Career,,1.0,,,,0.0,0.0,,,6-Jun,0.0,0.0,,,,,0.0,,,,,brandon-linder-1,,,OL,,,,,,,,,,,,0.0,,Career,0.0,0.0,Miami (FL),1.0,,,319.0,,,,0.0,,,
Sean Locklear,46,117,6.29059829059829,,,,,,,,,,,,,,,,,,,,,,,sean-locklear-1,1.0,,OL,,,,,,,1.0,0.0,5.0,5.0,0.0,,,Career,,,North Carolina State,,,,,5.0,5.0,,,,,Career
Jake Long,62,104,9.538461538461538,2006,,,,,,,,,,Jun-00,,,,,,,,,,,,jake-long-1,,,OL,,,,,,,,,,,,,,2006,,,Michigan,,,,185.0,,,,,,,
