,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
Career,,,,,,,,,,,,,,,Aaron Oliver,,,,,,,,aaron-oliver-1,,12,WR,,,,,,,,,,,,,,Career,,,Texas A&M,,2,,,,,,,,
Career,11.0,,1.0,,,,,,,,,,0.0,,Aaron Perez,,2.0,,50.0,0.0,22.0,11.0,aaron-perez-1,,,P,,142.4,,,,,,,,,,,,Career,,,UCLA,,,,,,,,,,
Career,,,,,,,,,,,1,0,,,Aaron Pitts,,,,,,,,aaron-pitts-1,,,DB,,,,,,,,,,,,,,Career,,,Middle Tennessee State,,,,,,,,29,29.0,
Career,6.8,,90,,,,,,,,,,9,,Aaron Polanco,,181,,49.7,8,1482,8.2,aaron-polanco-1,353,144,QB,,123.1,0.0,23.0,11.5,2.0,351,24,1364,3.9,24,,,Career,,,Navy,,24,,,1387,3.9,,,,
Career,,2,,,,0,0,0,,,,,,,Aaron R. King,,,0,,,,,aaron-r-king-1,,,OL,,,,,,,,,,,,0.0,,Career,2,0.0,UTEP,4,,,,,,0,,,
Career,,2,,,,0,0,0,,,,,,,Aaron Reyes,,,0,,,,,aaron-reyes-1,,,LB,,,,,,,,,,,,0.0,,Career,2,0.0,Air Force,4,,,,,,0,,,
Career,,15.0,,0.0,0.0,0.0,0.0,0.0,,,1,0,,0.0,Aaron Robbins,0.0,,1.0,,,,,aaron-robbins-1,,18,DL,0.0,,,,,,,,,,,5.0,0.0,Career,22.0,6.5,Wyoming,37.0,3,0.0,,,,0.0,0,0.0,
Career,,,,,,,,,,,,,,0.0,Aaron Roderick,,,,,,,,aaron-roderick-1,,24,WR,0,,,,,,,,,,,,,Career,,,Brigham Young,,4,,,,,,,,
Career,8.6,,424,,,,,,,,,,13,,Aaron Rodgers,,665,,63.8,43,5469,8.2,aaron-rodgers-1,161,48,QB,,150.3,0.0,10.0,10.0,1.0,160,8,336,2.1,8,,,Career,,,California,,8,,,346,2.1,,,,
Career,,31.0,,,,,,1.0,,,10,0,,0.0,Aaron Ross,,,,,,,,aaron-ross-1,,24,DB,3,,,,,,,,,,,1.0,,Career,72.0,4.0,Texas,103.0,4,,,,,3.0,111,11.1,
Career,,1,,,,0,0,0,,,,,,,Aaron Roupoli,,,0,,,,,aaron-roupoli-1,,,TE,,,,,,,,,,,,0.0,,Career,0,0.0,Tulsa,1,,,,,,0,,,
Career,,75,,,,,,,,,5,0,,,Aaron Rouse,,,,,,,,aaron-rouse-1,,,LB,,,,,,,,,,,,0.0,,Career,59,6.5,Virginia Tech,134,,,,,,,80,16.0,
Career,,0.0,,0.0,0.0,,0.0,0.0,,,0,0,,0.0,Aaron Sanchez,0.0,,,,,,,aaron-sanchez-1,151,54,RB,0.0,,5,380,8.3,46,105,4,424,4.0,9,0.0,0.0,Career,2.0,0.0,Florida Atlantic,2.0,9,0.0,,804,5.3,0.0,0,,
Career,,14,,,,0,0,0,,,,,,,Aaron Sanders,,,2,,,,,aaron-sanders-1,,,DL,,,,,,,,,,,,7.5,,Career,30,13.0,Buffalo,44,,,,,,0,,,
Career,,61,,,,0.0,0.0,0.0,,,1,0,,,Aaron Shanor,,,0.0,,,,,aaron-shanor-1,,,LB,,,,,,,,,,,,0.5,,Career,42,4.5,Air Force,103,,,,,,0.0,7,7.0,
Career,,,,,,,,,,,,,,,Aaron Shea,,,,,,,,aaron-shea-1,,30,RB,,,,,,,,,,,,,,Career,,,Michigan,,5,,,,,,,,
Career,,2,,,,0,0,0,,,,,,,Aaron Smith,,,0,,,,,aaron-smith-2,,,DB,,,,,,,,,,,,0.0,,Career,0,0.0,Stanford,2,,,,,,0,,,
Career,,,,,,,,,,,6,1,,0.0,Aaron Sprague,,,,,,,,aaron-sprague-1,,6,DB,,,,,,,,,,,,,,Career,,,Colorado State,,1,,,,,,165,27.5,
Career,,,,,,,,,,,,,,1,Aaron Stecker,,,,,,,,aaron-stecker-1,144,60,RB,1,,0,140,6.4,22,122,8,626,5.1,8,,,Career,,,Wisconsin,,10,,,766,5.3,,,,
Career,,,,,,,,,,,1,0,,,Aaron Terpening,,,,,,,,aaron-terpening-1,,6,DB,1.0,,,,,,,,,,,,,Career,,,Nebraska,,1,,,,,,2,2.0,
Career,,41.0,,,,0.0,0.0,0.0,,,2.0,0.0,,,Aaron Wagner,,,3.0,,,,,aaron-wagner-1,,,LB,,,,,,,,,,,,0.0,,Career,49.0,7.5,Overall,90.0,,,,,,0.0,26.0,13.0,
Career,,,,,,,,,,,,,,,Aaron Walker,,,,,,,,aaron-walker-1,52,12,RB,,,1,27,5.4,5,47,1,141,3.0,2,,,Career,,,Eastern Michigan,,2,,,168,3.2,,,,
Career,,,,,,,,,,,,,,,Aaron Walker,,,,,,,,aaron-walker-2,,54,TE,,,,,,,,,,,,,,Career,,,Florida,,9,,,,,,,,
Career,,106,,,,,,,,,4,0,,,Aaron Weathers,,,,,,,,aaron-weathers-1,,,DB,,,,,,,,,,,,0.0,,Career,149,4.5,North Texas,255,,,,,,,50,12.5,
Career,,,,,,,,,,,,,,,Aaron Weedo,,,,,,,,aaron-weedo-1,6,,PR,,,0,29,29.0,1,5,0,79,15.8,0,,,Career,,,Navy,,,,,108,18.0,,,,
Career,,42,,,,0,0,0,,,,,,,Aaron Whittington,,,3,,,,,aaron-whittington-1,,,LB,,,,,,,,,,,,2.0,,Career,45,9.0,UCLA,87,,,,,,0,,,
Career,,,,,,,,,,,4,2,,,Abdual Howard,,,,,,,,abdual-howard-1,,12,DB,,,,,,,,,,,,,,Career,,,Florida State,,2,,,,,,158,39.5,
Career,,62.0,,,,3.0,1,0,,,,,,,Abdul Hodge,,,0.0,,,,,abdul-hodge-1,,,LB,,,,,,,,,,,,1.0,,Career,96.0,11.0,Iowa,158.0,,,,,,47,,,
Career,,4.0,,,,,,,,,0,0,,,Abdule Levier,,,,,,,,abdule-levier-1,124,42,RB,,,1.0,114.0,9.5,12.0,112,6,519,4.6,7,0.0,,Career,4.0,0.0,Louisiana,8.0,7,,,633,5.1,,0,,
Career,,33.0,,,,1.0,0.0,0.0,,,1,0,,,Abe Brown,,,6.0,,,,,abe-brown-1,,,DB,,,,,,,,,,,,3.0,,Career,57.0,16.0,Louisville,90.0,,,,,,0.0,0,0.0,
Career,,,,,,,,,,,,,,1.0,Abel Young,,,,,,,,abel-young-1,70,42,RB,,,0.0,7.0,7.0,1.0,69,6,422,6.1,6,,,Career,,,Army,,7,,,429,6.1,,,,
Career,,,,0.0,0.0,,1.0,1.0,,,11,0,,0.0,Abraham Elimimian,0.0,,,,,,,abraham-elimimian-1,,6,DB,0.0,,,,,,,,,,,,0.0,Career,,,Hawaii,,1,0.0,,,,35.0,47,4.3,
Career,,10.0,,,,0.0,0.0,0.0,,,1,0,,,Abraham Jones,,,1.0,,,,,abraham-jones-1,,,DB,,,,,,,,,,,,0.0,,Career,12.0,0.0,West Virginia,22.0,,,,,,0.0,-2,-2.0,
Career,,29,,,,1.0,0.0,0.0,,,1,0,,,Abraham Wright,,,2.0,,,,,abraham-wright-1,,,DL,,,,,,,,,,,,17.0,,Career,47,21.0,Colorado,76,,,,,,0.0,2,2.0,
Career,,,,,,,,,,,,,,,Abram Booty,,,,,,,,abram-booty-1,,48,WR,,,,,,,,,,,,,,Career,,,LSU,,8,,,,,,,,
Career,,,,,,,0.0,0.0,,,5,0,,,Abram Elam,,,,,,,,abram-elam-1,,,DB,,,,,,,,,,,,,,Career,,,Overall,,,,,,,0.0,132,26.4,
Career,,,,1.0,,,,,,,,,,,Abtin Iranmanesh,,,,,,,,abtin-iranmanesh-1,1,1,P,,,,,,,1.0,0.0,7.0,7.0,0,,,Career,,,Vanderbilt,,0,,,7,7.0,,,,
Career,,,,,,,,,,,1,0,,,Abu Maafala,,,,,,,,abu-maafala-1,,,DL,,,,,,,,,,,,,,Career,,,Hawaii,,,,,,,,32,32.0,
Career,,21,,,,0,0,0,,,,,,,Abu Ma'Afala,,,1,,,,,abu-maafala-2,,,DL,,,,,,,,,,,,2.5,,Career,19,6.5,California,40,,,,,,0,,,
Career,,,,,,,,,,,,,,0.0,Abu Wilson,,,,,,,,abu-wilson-1,874,246,RB,,,1,725,8.8,82,792,40,3933,5.0,41,,,Career,,,Utah State,,41,,,4658,5.3,,,,
Career,,,,,,,,,,,2,0,,,A.C. Carter,,,,,,,,ac-carter-1,12,,DB,,,0.0,0.0,0.0,1.0,11.0,0.0,29.0,2.6,0,,,Career,,,Indiana,,,,,29,2.4,,10,5.0,
Career,,,,,,,1,0,,,,,,,A.C. Collier,,,,,,,,ac-collier-1,,,DL,,,,,,,,,,,,,,Career,,,Baylor,,,,,,,13,,,
Career,,5,,,,1,0,0,,,,,,,Ace Foyil,,,0,,,,,ace-foyil-2,,,LB,,,,,,,,,,,,1.0,,Career,13,2.0,Tulane,18,,,,,,0,,,
Career,,,,,,,,,,,1,0,,,Adalius Thomas,,,,,,,,adalius-thomas-1,,,,,,,,,,,,,,,,,Career,,,Southern Mississippi,,,,,,,,0,0.0,
Career,,,,,,,,,,,,,,,Adam Anderson,,,,,,,,adam-anderson-1,1,,P,,,,,,,1.0,0.0,-2.0,-2.0,0,,,Career,,,Western Michigan,,,,,-2,-2.0,,,,
Career,,,,,,,,,,,2,0,,,Adam Archuleta,,,,,,,,adam-archuleta-1,,,LB,,,,,,,,,,,,,,Career,,,Arizona State,,,,,,,,4,2.0,
Career,2.8,,55,,,,,,,,,,6,,Adam Austin,,116,,47.4,2,549,4.7,adam-austin-1,15,6,QB,,82.5,,,,,15,1,-78,-5.2,1,,,Career,,,Arizona,,1,,,-78,-5.2,,,,
